GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,HOME_TEAM_WINS,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,SAVE_PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
KCA201308090,59,6,9,0,1,0,4,6,1,1,0,britd001,hollg001,Drake Britton,False,0.67,060220.67,33.3,-0.3748125937031484,2013
KCA201308100,83,9,9,0,0,0,3,5,0,0,0,uehak001,uehak001,Koji Uehara,True,1.0,090201.0,97.3,1.027749229188078,2013
KCA201308110,75,9,9,1,1,0,4,3,0,0,0,hollg001,hollg001,Greg Holland,True,1.0,090101.0,95.2,1.050420168067227,2013
KCA201308130,73,10,10,0,0,0,0,1,0,0,0,cishs001,cishs001,Steve Cishek,True,1.0,100101.0,96.6,1.0351966873706004,2013
KCA201308140,62,7,9,1,0,0,2,1,0,0,0,collt001,cishs001,Tim Collins,False,1.0,070101.0,50.0,-0.5,2013
KCA201308140,83,9,9,0,0,0,2,5,0,0,0,cishs001,cishs001,Steve Cishek,True,1.0,090301.0,99.2,1.0080645161290323,2013
KCA201308200,67,9,9,0,0,0,0,2,0,0,0,reeda001,reeda001,Addison Reed,True,1.0,090201.0,97.3,1.027749229188078,2013
KCA201308210,81,9,9,0,0,0,2,5,0,0,0,reeda001,reeda001,Addison Reed,True,1.0,090301.0,99.2,1.0080645161290323,2013
KCA201308220,90,12,12,0,0,0,3,4,0,0,0,reeda001,reeda001,Addison Reed,True,1.0,120101.0,85.7,1.1668611435239207,2013
KCA201308230,87,9,9,0,0,0,7,11,0,1,1,sorir001,sorir001,Rafael Soriano,True,1.0,090421.0,50.0,2.0,2013
KCA201308250,73,9,9,1,1,0,6,4,0,0,0,hollg001,hollg001,Greg Holland,True,1.0,090201.0,97.3,1.027749229188078,2013
KCA201309020,70,9,9,1,1,0,3,1,0,0,0,hollg001,hollg001,Greg Holland,True,1.0,090201.0,97.3,1.027749229188078,2013
KCA201309030,55,7,9,1,1,1,3,2,1,0,1,collt001,hollg001,Tim Collins,False,1.0,071121.0,50.0,-0.5,2013
KCA201309030,71,9,9,1,1,0,4,3,0,0,0,hollg001,hollg001,Greg Holland,True,1.0,090101.0,95.2,1.050420168067227,2013
KCA201309040,76,9,9,0,0,0,4,6,0,0,0,farqd001,farqd001,Danny Farquhar,True,1.0,090201.0,97.3,1.027749229188078,2013
KCA201309050,74,9,13,1,1,0,6,5,0,0,0,hollg001,None,Greg Holland,False,1.0,090101.0,95.2,-5.208333333333337,2013
KCA201309050,49,5,13,0,1,2,3,5,1,1,1,maurb001,None,Brandon Maurer,False,1.33,052231.33,14.3,-0.29171528588098017,2013
KCA201309070,71,9,9,1,1,0,4,3,0,0,0,hollg001,hollg001,Greg Holland,True,1.0,090101.0,95.2,1.050420168067227,2013
